# Time                      Task   Queued  Running   Hostname Exit   Command
Tue Feb 11 02:47:47 2014: 000131     1780     4990   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:48:46 2014: 000207     3531     3297   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:48:50 2014: 000014        6     6829   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:49:17 2014: 000114        5     6855   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:49:39 2014: 000146     1840     5042   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:49:49 2014: 000129     1760     5132   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:51:11 2014: 000009        5     6970   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:51:51 2014: 000145     1834     5180   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:51:52 2014: 000026        6     7011   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:53:04 2014: 000104        5     7082   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 03:05:44 2014: 000122     1731     6116   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 03:11:02 2014: 000124     1747     6418   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 03:15:57 2014: 000233     4274     4184   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 03:18:11 2014: 000225     3635     4957   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
