# Time                      Task   Queued  Running   Hostname Exit   Command
Tue Feb 11 01:51:59 2014: 000130     1768     1654   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:51:59 2014: 000105        5     3417   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:52:06 2014: 000121     1728     1701   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:52:11 2014: 000073        6     3429   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:52:13 2014: 000123     1734     1702   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:52:16 2014: 000120     1723     1716   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:52:17 2014: 000133     1787     1653   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:52:21 2014: 000096        5     3439   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:52:23 2014: 000086        6     3441   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:52:23 2014: 000128     1760     1686   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:52:26 2014: 000028        6     3445   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:52:32 2014: 000046        5     3451   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:52:38 2014: 000081        6     3456   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:52:41 2014: 000103        5     3459   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:52:42 2014: 000015        5     3462   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:52:46 2014: 000032        6     3465   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:52:58 2014: 000106        5     3476   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:52:59 2014: 000045        5     3478   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:53:02 2014: 000000        4     3483   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:53:05 2014: 000044        5     3484   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:53:10 2014: 000051        5     3489   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:53:11 2014: 000004        6     3490   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:53:11 2014: 000149     1865     1629   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:53:13 2014: 000143     1831     1665   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:53:19 2014: 000137     1808     1694   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:53:20 2014: 000126     1759     1744   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:53:22 2014: 000040        6     3501   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:53:25 2014: 000036        6     3504   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:53:26 2014: 000135     1799     1710   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:53:27 2014: 000060        5     3505   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:53:27 2014: 000078        6     3505   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:53:28 2014: 000127     1759     1752   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:53:30 2014: 000107        5     3508   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:53:42 2014: 000094        6     3520   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:53:49 2014: 000069        6     3527   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:53:50 2014: 000141     1822     1710   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:53:56 2014: 000017        6     3535   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:53:59 2014: 000140     1821     1721   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:54:06 2014: 000147     1847     1702   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:54:07 2014: 000148     1851     1699   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:54:07 2014: 000079        6     3545   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:54:09 2014: 000084        6     3547   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:54:10 2014: 000059        5     3549   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:54:15 2014: 000053        5     3554   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:54:15 2014: 000142     1830     1728   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:54:33 2014: 000065        5     3572   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:54:46 2014: 000062        5     3585   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:54:48 2014: 000050        5     3587   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:54:50 2014: 000098        5     3588   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:55:00 2014: 000113        5     3598   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:55:06 2014: 000016        6     3605   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:55:12 2014: 000139     1819     1796   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:55:34 2014: 000150     1896     1741   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:56:48 2014: 000151     2033     1678   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:02:53 2014: 000008        5     4073   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:03:44 2014: 000005        6     4123   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:04:38 2014: 000042        6     4177   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:05:02 2014: 000043        5     4201   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:05:21 2014: 000006        6     4220   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:06:12 2014: 000054        5     4271   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:06:13 2014: 000033        6     4272   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:06:31 2014: 000110        5     4289   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:07:19 2014: 000018        6     4338   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:08:07 2014: 000083        6     4385   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:15:56 2014: 000153     3224     1635   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
